Código;Nombre;Marca;Nombre marca;Familia;Nombre familia;;;;;;;;;
ACEITE;ACEITE;;;AA004;-004-VARIOS;;;;;;;;;
4000004;ALAS DE POLLO FRESCAS;;;AAAA9;-9-AVES;;;;;;;;;
0205;ALBONDIGAS;;;AA007;-007-DESPIECE FRESCO;;;;;;;;;
144;ALMIREZ 2010 (6B);;;AA004;-004-VARIOS;;;;;;;;;
25;BABILLAS TERNERA;;;AA007;-007-DESPIECE FRESCO;;;;;;;;;
207;BACON AHUMADO;;;AA003;-003-FIAMBRES;;;;;;;;;
10007;BANDEJA GALLETAS BAÑADA CHOCO 150 GRS ELGORRIAGA;;;AA004;-004-VARIOS;;;;;;;;;
10003;BOBINAS SECAMANOS(6U);;;AA004;-004-VARIOS;;;;;;;;;
239;BOLSAS C/A GRANDES;;;AA004;-004-VARIOS;;;;;;;;;
238;BOLSAS C/A MEDIANAS;;;AA004;-004-VARIOS;;;;;;;;;
237;BOLSAS C/A PEQUEÑAS;;;AA004;-004-VARIOS;;;;;;;;;
236;BOLSAS S/A;;;AA004;-004-VARIOS;;;;;;;;;
240;BOLSAS VACIO DIF.MEDIDAS;;;AA004;-004-VARIOS;;;;;;;;;
10000;"BOTELLA "" MONT BASART"" BRUT";;;AA004;-004-VARIOS;;;;;;;;;
210;BOTELLA VINO TINTO;;;AA004;-004-VARIOS;;;;;;;;;
2011;BOTILLOS;;;AA002;-002-EMBUTIDOS;;;;;;;;;
00006;BOX TINTO 15L;;;AA004;-004-VARIOS;;;;;;;;;
00005;BOX VINO TINTO 5L;;;AA004;-004-VARIOS;;;;;;;;;
348;BURGUER POLLO;;;AA007;-007-DESPIECE FRESCO;;;;;;;;;
349;BURGUER TERNERA;;;AA007;-007-DESPIECE FRESCO;;;;;;;;;
1102;BUTIFARRA FRESCA EXTRA;;;AA002;-002-EMBUTIDOS;;;;;;;;;
022;CABECERO LOMO;;;AA002;-002-EMBUTIDOS;;;;;;;;;
0221;CABECERO LOMO FRESCO;;;AA007;-007-DESPIECE FRESCO;;;;;;;;;
128;CABEZA CON PAPADA(ENTERA);;;AA007;-007-DESPIECE FRESCO;;;;;;;;;
135;CABEZA CURADA/CHU;;;AA004;-004-VARIOS;;;;;;;;;
223;CABEZA DE JABALI S/P;;;AA003;-003-FIAMBRES;;;;;;;;;
50;CABEZA JABALI C/P;;;AA003;-003-FIAMBRES;;;;;;;;;
347;CACHOPOS;;;AA008;-008-PRECOCINADOS;;;;;;;;;
242;CADERA DE TERNERA;;;AA004;-004-VARIOS;;;;;;;;;
20001;CAJA DE CARTON DECORADA;;;AA004;-004-VARIOS;;;;;;;;;
2000;CAJAS MADERA;;;AA004;-004-VARIOS;;;;;;;;;
315;CALLOS A LA ZAMORANA (600gr);;;AA008;-008-PRECOCINADOS;;;;;;;;;
115;CALLOS BLANCOS 1K.;;;AA008;-008-PRECOCINADOS;;;;;;;;;
00007;CALLOS CON GARBANZOS;;;AA008;-008-PRECOCINADOS;;;;;;;;;
1150;CALLOS DE TERNERA;;;AA007;-007-DESPIECE FRESCO;;;;;;;;;
211;CARETAS CERDO FRESCAS;;;AA007;-007-DESPIECE FRESCO;;;;;;;;;
00008;CARNE DE TERNERA ESTOFADA;;;AA008;-008-PRECOCINADOS;;;;;;;;;
00009;CARNE DE TERNERA GUISADA;;;AA008;-008-PRECOCINADOS;;;;;;;;;
107;CARNE GUISAR EXTRA;;;AA007;-007-DESPIECE FRESCO;;;;;;;;;
1070;CARNE GUISAR TERNERA;;;AA007;-007-DESPIECE FRESCO;;;;;;;;;
106;CARNE PICADA TERNERA;;;AA007;-007-DESPIECE FRESCO;;;;;;;;;
0350;CARRILLERAS DE CERDO FRESCAS;;;AA007;-007-DESPIECE FRESCO;;;;;;;;;
0351;CARRILLERAS DE TERNERA;;;AA007;-007-DESPIECE FRESCO;;;;;;;;;
0261;CECINA  DE TORO;;;AA002;-002-EMBUTIDOS;;;;;;;;;
027;CECINA CABALLO;;;AA002;-002-EMBUTIDOS;;;;;;;;;
